configuration,question_id,recall,precision,redundancy,diversity,em,f1,selection_time_ms,generation_time_ms,retrieval_hit,selected_ranks,gold_ranks,plugin_timing_available,plugin_timing_ms
qore_as_control,nq_0,0.5,0.4,0.8541128623045979,0.14588713769540207,0.0,0.8571428571428571,25.78768399985165,699.9219430001631,True,0;1;25;32;37,0;1;4;38,True,baseline:0.959017
qore_as_control,nq_1,0.3333333333333333,0.4,0.7231898500225278,0.2768101499774722,0.0,0.5714285714285715,11.381819999996878,233.2905870000559,True,1;12;30;43;48,0;1;7;9;14;30,True,baseline:0.178114
qore_as_control,nq_2,0.23076923076923078,0.6,0.6961108830999511,0.30388911690004894,1.0,1.0,11.374161000048844,171.6763809999975,True,0;1;32;37;47,0;1;6;7;16;19;22;23;32;33;35;38;45,True,baseline:0.164559
qore_as_control,nq_3,0.625,1.0,0.8856787463091609,0.11432125369083912,0.0,0.0,11.23286699998971,272.5635060000968,True,4;29;37;45;49,4;6;24;29;37;45;47;49,True,baseline:0.153478
qore_as_control,nq_4,0.4,0.8,0.8538989055969182,0.14610109440308183,0.0,0.8,11.27837100011675,192.22026600004938,True,0;16;26;29;40,0;3;7;16;24;26;27;33;40;47,True,baseline:0.158027
qore_as_control,nq_5,0.0,0.0,0.8888063393982742,0.11119366060172575,0.0,0.0,11.316305000036664,248.91503700018802,True,0;5;8;10;21,19;44,True,baseline:0.154136
qore_as_control,nq_6,0.0,0.0,0.9058967500802556,0.09410324991974439,0.0,0.0,11.240802999964217,252.2451639999872,True,0;3;5;11;12,9;33,True,baseline:0.155122
qore_as_control,nq_7,,0.0,0.9030805196519799,0.09691948034802012,0.0,0.6666666666666666,11.208232000171847,193.29359000016666,False,4;9;34;42;49,,True,baseline:0.150333
qore_as_control,nq_8,,0.0,0.625220254602515,0.37477974539748504,0.0,0.28571428571428575,11.273292999931073,231.53640900000028,False,1;7;18;39;43,,True,baseline:0.153563
qore_as_control,nq_9,,0.0,0.8074523201595352,0.19254767984046484,0.0,0.5,11.22540599999411,174.65672000002996,False,15;19;34;43;48,,True,baseline:0.154760
qore_as_control,nq_10,0.2857142857142857,0.8,0.7949576893064805,0.20504231069351952,1.0,1.0,11.163672999828123,192.75762600000235,True,5;8;11;42;46,0;1;2;3;5;8;9;11;14;17;23;36;39;42,True,baseline:0.153377
qore_as_control,nq_11,0.75,0.6,0.7769646693458949,0.22303533065410508,1.0,1.0,11.151031999816041,214.25760399984028,True,0;3;14;32;37,3;7;14;37,True,baseline:0.150002
qore_as_control,nq_12,0.3333333333333333,0.2,0.7706736545523188,0.22932634544768116,0.0,0.0,11.220307999792567,212.59301400004915,True,0;14;21;29;39,0;1;41,True,baseline:0.148292
qore_as_control,nq_13,0.7142857142857143,1.0,0.8473733470427754,0.15262665295722455,1.0,1.0,11.176376000094024,192.26826299995992,True,0;1;4;5;31,0;1;3;4;5;16;31,True,baseline:0.152510
qore_as_control,nq_14,0.2,0.2,0.7280395526872177,0.27196044731278235,0.0,0.5,11.117359000081706,376.7055050000181,True,10;11;28;31;45,0;1;2;9;11,True,baseline:0.148129
qore_as_control,nq_15,,0.0,0.6727730841400221,0.3272269158599779,0.0,0.0,11.197023000022455,194.32966299996224,False,15;17;18;36;49,,True,baseline:0.160781
qore_as_control,nq_16,0.5,0.2,0.7973541831371616,0.20264581686283845,0.0,0.7499999999999999,11.225057000046945,232.3376649999318,True,5;7;27;43;46,4;27,True,baseline:0.152363
qore_as_control,nq_17,0.2,0.2,0.8234791843263715,0.17652081567362854,1.0,1.0,11.235604000148669,191.48474200005694,True,1;13;20;22;29,8;12;22;27;28,True,baseline:0.163538
qore_as_control,nq_18,0.05263157894736842,0.2,0.8053153524811634,0.19468464751883663,0.0,0.5,11.268400000062684,191.23805100002755,True,3;10;18;34;41,0;1;2;4;5;6;7;10;16;17;20;22;25;27;33;36;37;43;49,True,baseline:0.145852
qore_as_control,nq_19,0.2,1.0,0.7832095675627189,0.21679043243728113,0.0,0.0,11.31985100005295,197.85091499988994,True,0;9;11;18;27,0;1;2;3;4;5;6;8;9;11;12;13;15;17;18;21;23;27;31;32;36;43;45;47;49,True,baseline:0.145551
qore_as_control,nq_20,0.5,0.4,0.8389580345605078,0.16104196543949223,0.0,0.0,11.270039000010001,235.10680599997613,True,0;6;9;30;42,0;21;42;48,True,baseline:0.147418
qore_as_control,nq_21,0.75,0.6,0.6604867223791132,0.3395132776208868,0.0,0.33333333333333337,11.373253999863664,300.14762399991923,True,0;1;3;25;48,0;1;3;16,True,baseline:0.179875
qore_as_control,nq_22,0.3333333333333333,0.8,0.7779250985182056,0.22207490148179443,0.0,0.6666666666666666,11.539859999857072,172.44854800014764,True,0;3;5;26;30,0;3;5;12;17;22;24;26;28;31;34;48,True,baseline:0.149354
qore_as_control,nq_23,0.75,0.6,0.8251881144429756,0.17481188555702443,1.0,1.0,11.459378999916225,173.85795600011988,True,5;7;8;33;34,5;8;31;33,True,baseline:0.163925
qore_as_control,nq_24,1.0,0.8,0.9102010331457286,0.08979896685427136,1.0,1.0,11.429921999933867,214.8453459999473,True,0;1;2;4;7,0;2;4;7,True,baseline:0.169990
qore_as_control,nq_25,0.3333333333333333,0.8,0.7718850651428916,0.22811493485710843,0.0,0.5,11.325894000037806,212.847389999979,True,7;15;19;24;43,0;3;5;15;19;24;34;37;41;42;43;45,True,baseline:0.148702
qore_as_control,nq_26,,0.0,0.6727415658000853,0.32725843419991474,0.0,0.0,11.441323999861197,237.07632900004683,False,8;23;29;45;46,,True,baseline:0.151043
