configuration,question_id,n_candidates,prefiltered,pool_size,K,lam,gamma_effective,selected_count,selected_ranks,gold_ranks,gold_in_pool,gold_selected,gold_pool_count,gold_selected_count,quality_sum_selected,quality_mean_selected,pair_count_selected,b_pair_sum_selected,w_pair_sum_selected,residual_pair_sum_selected,objective_without_constant,qubo_energy_recomputed,recorded_energy,recorded_terms_total,exact_optimal_under_w,best_objective_under_w,objective_regret,combination_count,a_pool_mean,a_pool_std,a_pool_min,a_pool_q10,a_pool_q50,a_pool_q90,a_pool_max,a_selected_mean,a_selected_std,a_selected_min,a_selected_q10,a_selected_q50,a_selected_q90,a_selected_max,b_pool_mean,b_pool_std,b_pool_min,b_pool_q10,b_pool_q50,b_pool_q90,b_pool_max,b_selected_mean,b_selected_std,b_selected_min,b_selected_q10,b_selected_q50,b_selected_q90,b_selected_max,w_pool_mean,w_pool_std,w_pool_min,w_pool_q10,w_pool_q50,w_pool_q90,w_pool_max,w_selected_mean,w_selected_std,w_selected_min,w_selected_q10,w_selected_q50,w_selected_q90,w_selected_max,residual_pool_mean,residual_pool_std,residual_pool_min,residual_pool_q10,residual_pool_q50,residual_pool_q90,residual_pool_max,residual_selected_mean,residual_selected_std,residual_selected_min,residual_selected_q10,residual_selected_q50,residual_selected_q90,residual_selected_max
qore_dpr,nq_0,50,True,15,5,2.0,0.5,5,0;1;2;3;4,0;1;4;38,1,1,3,3,3.719029557120609,0.7438059114241218,10,8.820913502054196,4.410456751027098,0.0,0.6914271939064891,-49.30857280609351,-49.30857280609351,-49.30857280609351,True,0.6914271939064891,0.0,3003,0.46841291948315916,0.22548761074055804,0.2605517636483964,0.2645215776528808,0.39117994712182724,0.8084743363064958,1.0,0.7438059114241218,0.1737097140819049,0.4984327515417313,0.5458881129472503,0.7682052700375679,0.9341281521943124,1.0,0.8616840265566247,0.044038756740931405,0.7419202826941493,0.8120688327379207,0.8614262864875666,0.9243987883970751,0.9999999999999998,0.8820913502054198,0.031066691238968363,0.8337222223422512,0.841232964416802,0.8857264811427299,0.927694768692667,0.9339137450017412,0.43084201327831234,0.022019378370465702,0.37096014134707467,0.40603441636896037,0.4307131432437833,0.46219939419853756,0.4999999999999999,0.4410456751027099,0.015533345619484181,0.4168611111711256,0.420616482208401,0.44286324057136495,0.4638473843463335,0.4669568725008706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qore_dpr,nq_1,50,True,15,5,2.0,0.5,5,0;1;2;6;8,0;1;7;9;14;30,1,1,5,2,3.4963929608857454,0.699278592177149,10,8.803520995973182,4.401760497986591,0.0,0.9053675371008456,-49.094632462899156,-49.09463246289915,-49.094632462899156,True,0.9053675371008456,0.0,3003,0.4935285306331927,0.21695580200411985,0.2508140146253926,0.2625863531424538,0.4801830307106651,0.7971549240059104,1.0,0.699278592177149,0.22116195098991148,0.4527738549084376,0.4765818089546318,0.6082014778306019,0.9692495552491132,1.0,0.8544486233038434,0.04476403024848284,0.7481429061776842,0.8024895028317086,0.8480937396884947,0.9133089109680497,0.9804006111199353,0.8803520995973182,0.045018091410768915,0.8243301577836231,0.8285194022559446,0.8828176264605745,0.9196208608673274,0.9804006111199353,0.4272243116519217,0.02238201512424142,0.3740714530888421,0.4012447514158543,0.42404686984424733,0.45665445548402483,0.49020030555996763,0.4401760497986591,0.022509045705384458,0.41216507889181153,0.4142597011279723,0.44140881323028724,0.4598104304336637,0.49020030555996763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qore_dpr,nq_2,50,True,15,5,2.0,0.5,5,0;1;2;3;13,0;1;6;7;16;19;22;23;32;33;35;38;45,1,1,4,2,3.6870814439332316,0.7374162887866463,10,7.596790521849469,3.7983952609247345,0.0,0.11131381699150289,-49.888686183008495,-49.88868618300849,-49.888686183008495,True,0.11131381699150289,0.0,3003,0.4426213080815476,0.2942084757622531,0.14495229948437138,0.16984542681629441,0.35435276671645766,0.9653645282997094,1.0,0.7374162887866463,0.3216625056592558,0.16815017782659905,0.3372105854970526,0.9575675658131518,0.9882250013162991,1.0,0.7300891091963873,0.0794521197136604,0.5128270913225601,0.6427903921185409,0.725068235672576,0.8326899109084055,0.9914678296876349,0.7596790521849469,0.1365837509702188,0.5128270913225601,0.6269936345192093,0.7775198322742142,0.8901125948748663,0.9914678296876349,0.3650445545981936,0.0397260598568302,0.25641354566128005,0.32139519605927047,0.362534117836288,0.41634495545420275,0.49573391484381746,0.37983952609247346,0.0682918754851094,0.25641354566128005,0.31349681725960465,0.3887599161371071,0.44505629743743313,0.49573391484381746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qore_dpr,nq_3,50,True,15,5,2.0,0.5,5,0;1;2;3;4,4;6;24;29;37;45;47;49,1,1,2,1,4.348020483111778,0.8696040966223556,10,8.917927999498925,4.458963999749463,0.0,0.11094351663768443,-49.88905648336232,-49.88905648336231,-49.88905648336232,True,0.11094351663768443,0.0,3003,0.6863483853169882,0.14521036651032213,0.5159613096777531,0.5260576216831325,0.6655335436817876,0.8750215693374024,1.0,0.8696040966223556,0.072952552110821,0.8013924378006517,0.8015132674701287,0.8596927533233332,0.9540963120053794,1.0,0.909602499313917,0.03252731696283874,0.7898063605948461,0.8630366134117565,0.9143734929760599,0.9487068317870033,0.964616017144848,0.8917927999498925,0.029082188635150902,0.8584291713405472,0.8615450333921835,0.878823127035922,0.9287732294901485,0.936626502603682,0.4548012496569585,0.01626365848141937,0.39490318029742305,0.43151830670587826,0.4571867464880299,0.47435341589350166,0.482308008572424,0.44589639997494623,0.014541094317575451,0.4292145856702736,0.43077251669609173,0.439411563517961,0.46438661474507426,0.468313251301841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qore_dpr,nq_4,50,True,15,5,2.0,0.5,5,0;1;2;3;8,0;3;7;16;24;26;27;33;40;47,1,1,3,2,4.465856186876347,0.8931712373752694,10,8.353656647314311,4.176828323657156,0.0,-0.28902786321919116,-50.28902786321919,-50.28902786321919,-50.28902786321919,True,-0.28902786321919116,0.0,3003,0.7572608631811991,0.11962937140154675,0.6155909653220509,0.6406396969800879,0.7234705908730023,0.9383884130756468,1.0,0.8931712373752694,0.09480442065503605,0.7226344373900405,0.7818689217312861,0.9255612383512214,0.9787759451567721,1.0,0.8612242891092404,0.05010326809367138,0.7633813744231486,0.7892030475861584,0.8552065074948481,0.927697215971678,0.9849097893754402,0.8353656647314311,0.04621231886353544,0.7691716694542281,0.7833791040235444,0.8334932193244967,0.88769820745674,0.9263295907599697,0.4306121445546202,0.02505163404683569,0.3816906872115743,0.3946015237930792,0.42760325374742403,0.463848607985839,0.4924548946877201,0.4176828323657156,0.02310615943176772,0.38458583472711405,0.3916895520117722,0.41674660966224836,0.44384910372837,0.46316479537998484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qore_dpr,nq_5,50,True,15,5,2.0,0.5,5,0;1;2;3;6,19;44,0,0,0,0,4.022759216876461,0.8045518433752923,10,8.784629868006986,4.392314934003493,0.0,0.3695557171270316,-49.63044428287297,-49.63044428287296,-49.630444282872965,True,0.3695557171270316,0.0,3003,0.6286144003847621,0.15378023896515064,0.4985960122394149,0.5033502910592568,0.5310743071794617,0.8507239166127668,1.0,0.8045518433752923,0.13076914981422574,0.6224796631673217,0.6593888377531221,0.8029612791681178,0.9530262699636798,1.0,0.8702521421221914,0.048120660975078694,0.7659452626312958,0.8025014359534522,0.8656844282551777,0.9308491389429354,0.9650147578569427,0.8784629868006988,0.04194167463025409,0.808103743779344,0.8318317177966674,0.8685422913485069,0.9371956215385391,0.9498130575018967,0.4351260710610957,0.024060330487539347,0.3829726313156479,0.4012507179767261,0.43284221412758883,0.4654245694714677,0.48250737892847134,0.4392314934003494,0.020970837315127045,0.404051871889672,0.4159158588983337,0.43427114567425346,0.46859781076926954,0.47490652875094835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qore_dpr,nq_6,50,True,15,5,2.0,0.5,5,0;1;2;3;6,9;33,1,0,1,0,4.107441186190061,0.8214882372380122,10,8.2411355936688,4.1205677968344,0.0,0.013126610644338399,-49.986873389355665,-49.986873389355665,-49.986873389355665,True,0.013126610644338399,0.0,3003,0.5451186889579831,0.2323300549111317,0.26389689582725273,0.318667248794537,0.47255958569219747,0.9300546830337867,1.0,0.8214882372380122,0.1869079842878678,0.4782003565131184,0.5967918643609901,0.9134116954635032,0.976460003232257,1.0,0.8241954454222945,0.08737383604014819,0.6327673795007037,0.6879018457688175,0.8593324360914922,0.911135963043594,0.9912544258246628,0.8241135593668799,0.11687233240576378,0.6652273505580483,0.6666432444211324,0.8955535461036344,0.9319828559217858,0.9331523006381632,0.41209772271114725,0.04368691802007409,0.31638368975035186,0.34395092288440876,0.4296662180457461,0.455567981521797,0.4956272129123314,0.41205677968343996,0.05843616620288189,0.33261367527902413,0.3333216222105662,0.4477767730518172,0.4659914279608929,0.4665761503190816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qore_dpr,nq_7,50,True,15,5,2.0,0.5,5,0;1;2;3;4,,0,0,0,0,4.587754364272691,0.9175508728545381,10,8.771192610803181,4.385596305401591,0.0,-0.20215805887109983,-50.2021580588711,-50.2021580588711,-50.2021580588711,True,-0.20215805887109983,0.0,3003,0.6337060167235996,0.21420931950682096,0.37420101850493537,0.38762705115577256,0.5498669237378712,0.9417801831632332,1.0,0.9175508728545381,0.06270194693701289,0.8118359284950856,0.8462115179076639,0.9255296854370559,0.9810455393256072,1.0,0.8815567983305103,0.04448461945746828,0.7912716924935044,0.8165042575164131,0.8834551385469673,0.943175210151631,0.959833036820289,0.8771192610803181,0.056916732084506975,0.8057794166529605,0.8173358176172624,0.8727751718591779,0.9590424459167319,0.959833036820289,0.44077839916525513,0.02224230972873414,0.3956358462467522,0.40825212875820655,0.44172756927348367,0.4715876050758155,0.4799165184101445,0.43855963054015906,0.028458366042253488,0.40288970832648024,0.4086679088086312,0.43638758592958893,0.47952122295836597,0.4799165184101445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qore_dpr,nq_8,50,True,15,5,2.0,0.5,5,0;1;2;3;6,,0,0,0,0,4.121140024638452,0.8242280049276902,10,6.163735739468986,3.081867869734493,0.0,-1.039272154903959,-51.03927215490396,-51.03927215490396,-51.039272154903955,True,-1.039272154903959,0.0,3003,0.6560337932121652,0.16220563691340456,0.43798350041161394,0.4475498753481203,0.6259217524828202,0.8843522481127062,1.0,0.8242280049276902,0.13727117718660256,0.6480671660526516,0.6879219042837041,0.7543453003030179,0.9884094186609994,1.0,0.6657497679897832,0.0917742701523403,0.4600062162855714,0.5715794230769423,0.6478997078389391,0.7990428688347145,0.9066791111495149,0.6163735739468986,0.08653948602511623,0.48608991956221825,0.5029891583609559,0.6142765649297334,0.723803731649258,0.7915644543378166,0.3328748839948916,0.04588713507617015,0.2300031081427857,0.28578971153847116,0.32394985391946957,0.39952143441735727,0.45333955557475747,0.3081867869734493,0.043269743012558114,0.24304495978110913,0.25149457918047796,0.3071382824648667,0.361901865824629,0.3957822271689083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qore_dpr,nq_9,50,True,15,5,2.0,0.5,5,0;2;3;4;8,,0,0,0,0,2.588827478173137,0.5177654956346274,10,7.518974836728525,3.7594874183642624,0.0,1.1706599401911255,-48.82934005980887,-48.82934005980888,-48.82934005980887,True,1.1706599401911255,0.0,3003,0.38460975678111475,0.17481679907879083,0.2648274427722439,0.2756393180017966,0.3267635176097317,0.4287375599049486,1.0,0.5177654956346274,0.2448575788875049,0.3147073009916675,0.3576786749445755,0.424631498829558,0.7709411769911896,1.0,0.777623247565319,0.06286040935434231,0.661217716693285,0.7186872955585314,0.7648180597733826,0.9043280958385858,0.9433953542484921,0.7518974836728525,0.044052766817235335,0.6931731051235297,0.7091076567091208,0.7352986615456236,0.8126944106155823,0.8452261819537017,0.3888116237826595,0.031430204677171156,0.3306088583466425,0.3593436477792657,0.3824090298866913,0.4521640479192929,0.47169767712424604,0.37594874183642624,0.022026383408617668,0.34658655256176485,0.3545538283545604,0.3676493307728118,0.40634720530779117,0.42261309097685085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
