configuration,question_id,recall,precision,redundancy,diversity,em,f1,selection_time_ms,generation_time_ms,retrieval_hit,selected_ranks,gold_ranks
qore_dpr,nq_0,0.75,0.6,0.8820913502054196,0.11790864979458038,0.0,0.8571428571428571,12.777369999867005,513.9131980001821,True,0;1;2;3;4,0;1;4;38
qore_dpr,nq_1,0.3333333333333333,0.4,0.8803520995973184,0.11964790040268158,0.0,0.5714285714285715,11.287114000197107,262.7680230000351,True,0;1;2;6;8,0;1;7;9;14;30
qore_dpr,nq_2,0.15384615384615385,0.4,0.7596790521849467,0.2403209478150533,1.0,1.0,11.29655499994442,174.78682099999787,True,0;1;2;3;13,0;1;6;7;16;19;22;23;32;33;35;38;45
qore_dpr,nq_3,0.125,0.2,0.8917927999498925,0.10820720005010753,0.0,0.0,11.24197599983745,282.4332459999823,True,0;1;2;3;4,4;6;24;29;37;45;47;49
qore_dpr,nq_4,0.2,0.4,0.8353656647314311,0.16463433526856885,1.0,1.0,11.304258000109257,178.0852279998726,True,0;1;2;3;8,0;3;7;16;24;26;27;33;40;47
qore_dpr,nq_5,0.0,0.0,0.8784629868006988,0.12153701319930121,0.0,0.0,11.266947999956756,284.43019699989236,True,0;1;2;3;6,19;44
qore_dpr,nq_6,0.0,0.0,0.8241135593668799,0.1758864406331201,0.0,0.0,11.203800999965097,259.1108350000013,True,0;1;2;3;6,9;33
qore_dpr,nq_7,,0.0,0.8771192610803183,0.12288073891968165,0.0,0.6666666666666666,11.027978999891275,217.58426199994574,False,0;1;2;3;4,
qore_dpr,nq_8,,0.0,0.6163735739468986,0.3836264260531014,0.0,0.3333333333333333,11.31035499997779,220.14426500004447,False,0;1;2;3;6,
qore_dpr,nq_9,,0.0,0.7518974836728525,0.24810251632714753,0.0,0.0,11.606891000155883,220.09816900003898,False,0;2;3;4;8,
qore_dpr,nq_10,0.2857142857142857,0.8,0.8279995304100674,0.17200046958993265,1.0,1.0,11.099170000079539,196.8772209997951,True,0;1;2;4;5,0;1;2;3;5;8;9;11;14;17;23;36;39;42
qore_dpr,nq_11,0.25,0.2,0.7156764214990264,0.28432357850097356,1.0,1.0,11.159009000039077,220.21251699993627,True,0;1;2;3;5,3;7;14;37
qore_dpr,nq_12,0.6666666666666666,0.4,0.8111818883957487,0.18881811160425133,0.0,0.0,11.127593999844976,327.7087480000773,True,0;1;2;3;6,0;1;41
qore_dpr,nq_13,0.42857142857142855,0.6,0.7550997581995318,0.2449002418004682,1.0,1.0,11.072015000081592,182.03028500010987,True,0;1;2;3;10,0;1;3;4;5;16;31
qore_dpr,nq_14,0.6,0.6,0.8059254078152929,0.19407459218470713,0.0,0.5714285714285715,11.169769000161978,302.2619390001182,True,0;1;2;3;14,0;1;2;9;11
qore_dpr,nq_15,,0.0,0.6953146986725226,0.3046853013274774,0.0,0.0,11.084459000130664,218.86570599986044,False,0;1;2;3;4,
qore_dpr,nq_16,0.5,0.2,0.8438226144853432,0.15617738551465676,0.0,0.7499999999999999,10.89263500011839,220.44168799993713,True,0;1;2;4;6,4;27
qore_dpr,nq_17,0.0,0.0,0.7429599703741872,0.25704002962581285,0.0,0.0,11.073921999923186,173.19608299999345,True,0;2;3;6;7,8;12;22;27;28
qore_dpr,nq_18,0.21052631578947367,0.8,0.8245267216477983,0.17547327835220172,0.0,0.0,11.022461000038675,238.17661399993995,True,0;1;2;3;6,0;1;2;4;5;6;7;10;16;17;20;22;25;27;33;36;37;43;49
qore_dpr,nq_19,0.16,0.8,0.7912520839063701,0.20874791609362986,0.0,0.0,10.978430999784905,194.96180100009042,True,0;1;2;3;7,0;1;2;3;4;5;6;8;9;11;12;13;15;17;18;21;23;27;31;32;36;43;45;47;49
qore_dpr,nq_20,0.25,0.2,0.8764251243929051,0.1235748756070949,0.0,0.0,11.111780999954135,282.19630600005985,True,0;1;2;3;4,0;21;42;48
qore_dpr,nq_21,0.75,0.6,0.7192452280745296,0.2807547719254704,0.0,0.4,10.915573999909611,282.72473100014395,True,0;1;2;3;5,0;1;3;16
qore_dpr,nq_22,0.08333333333333333,0.2,0.7723352067657572,0.22766479323424282,0.0,0.6666666666666666,11.68147999987923,175.66891499996018,True,0;1;2;4;6,0;3;5;12;17;22;24;26;28;31;34;48
qore_dpr,nq_23,0.0,0.0,0.8662834720146474,0.1337165279853526,0.0,0.5,11.004155999899012,175.33466999998382,True,0;1;2;3;4,5;8;31;33
