configuration,question_id,plugin,mode,elapsed_ms,input_norm,output_norm,delta_norm
qore_dpr,nq_0,baseline,replace,0.6949610000219764,0.0,6.251642633756471,6.251642633756471
qore_dpr,nq_1,baseline,replace,0.18035100003999105,0.0,6.199558781411047,6.199558781411047
qore_dpr,nq_2,baseline,replace,0.22533300000304735,0.0,5.321230515721324,5.321230515721324
qore_dpr,nq_3,baseline,replace,0.1614120000112962,0.0,6.594908906733556,6.594908906733556
qore_dpr,nq_4,baseline,replace,0.15217400004985393,0.0,6.250713936450188,6.250713936450188
qore_dpr,nq_5,baseline,replace,0.16349700001683232,0.0,6.315208263885635,6.315208263885635
qore_dpr,nq_6,baseline,replace,0.15389599991522118,0.0,6.005326533391778,6.005326533391778
qore_dpr,nq_7,baseline,replace,0.15000799999143055,0.0,6.395613080673215,6.395613080673215
qore_dpr,nq_8,baseline,replace,0.14773399993828207,0.0,4.869432891787643,4.869432891787643
qore_dpr,nq_9,baseline,replace,0.14585099995656492,0.0,5.6527949437828555,5.6527949437828555
qore_dpr,nq_10,baseline,replace,0.16153499996107712,0.0,5.816211120485051,5.816211120485051
qore_dpr,nq_11,baseline,replace,0.14715700001488585,0.0,5.537550062549776,5.537550062549776
qore_dpr,nq_12,baseline,replace,0.1606519999768352,0.0,5.547940099041693,5.547940099041693
qore_dpr,nq_13,baseline,replace,0.15970599997672252,0.0,5.2790859281498275,5.2790859281498275
qore_dpr,nq_14,baseline,replace,0.14988299994911358,0.0,5.92304722296902,5.92304722296902
qore_dpr,nq_15,baseline,replace,0.14607299999624956,0.0,5.2395979151373115,5.2395979151373115
qore_dpr,nq_16,baseline,replace,0.15171099994404358,0.0,6.115846504393911,6.115846504393911
qore_dpr,nq_17,baseline,replace,0.15828099992631905,0.0,5.788668267631059,5.788668267631059
qore_dpr,nq_18,baseline,replace,0.16436299995348236,0.0,5.970147522559212,5.970147522559212
qore_dpr,nq_19,baseline,replace,0.14974900000197522,0.0,5.832969848042246,5.832969848042246
qore_dpr,nq_20,baseline,replace,0.14921600006800873,0.0,6.144707250519451,6.144707250519451
qore_dpr,nq_21,baseline,replace,0.14941599999929167,0.0,5.0968923964696335,5.0968923964696335
qore_dpr,nq_22,baseline,replace,0.14427600001454266,0.0,5.799995480441072,5.799995480441072
qore_dpr,nq_23,baseline,replace,0.14919399995960703,0.0,6.020210998279209,6.020210998279209
qore_dpr,nq_24,baseline,replace,0.14877899991461163,0.0,5.851403900784357,5.851403900784357
qore_dpr,nq_25,baseline,replace,0.1456669999697624,0.0,6.028604532263716,6.028604532263716
qore_dpr,nq_26,baseline,replace,0.1630059999797595,0.0,4.976875792972856,4.976875792972856
qore_dpr,nq_27,baseline,replace,0.15274999998382555,0.0,4.9558218319103595,4.9558218319103595
qore_dpr,nq_28,baseline,replace,0.15475599991532363,0.0,6.167093805539483,6.167093805539483
qore_dpr,nq_29,baseline,replace,0.14999800009718456,0.0,6.265795721723177,6.265795721723177
qore_dpr,nq_30,baseline,replace,0.14799600000969804,0.0,5.719591904921188,5.719591904921188
qore_dpr,nq_31,baseline,replace,0.1487319999569081,0.0,5.61513940739534,5.61513940739534
qore_dpr,nq_32,baseline,replace,0.14944499991997873,0.0,5.806485109337428,5.806485109337428
qore_dpr,nq_33,baseline,replace,0.14262199999848235,0.0,4.986605013796509,4.986605013796509
qore_dpr,nq_34,baseline,replace,0.16129699997691205,0.0,6.095598859330222,6.095598859330222
qore_dpr,nq_35,baseline,replace,0.15980800003490003,0.0,6.286652367124482,6.286652367124482
qore_dpr,nq_36,baseline,replace,0.14356500003032124,0.0,6.270328476249772,6.270328476249772
qore_dpr,nq_37,baseline,replace,0.14571799999885116,0.0,5.4554824471840035,5.4554824471840035
qore_dpr,nq_38,baseline,replace,0.1479539999991175,0.0,5.706570567364393,5.706570567364393
qore_dpr,nq_39,baseline,replace,0.1502300000311152,0.0,6.33510369565673,6.33510369565673
qore_dpr,nq_40,baseline,replace,0.1499619999094648,0.0,6.365991266841194,6.365991266841194
qore_dpr,nq_41,baseline,replace,0.14163100001951534,0.0,6.094400438574666,6.094400438574666
qore_dpr,nq_42,baseline,replace,0.15053899994654785,0.0,6.029289147042885,6.029289147042885
qore_dpr,nq_43,baseline,replace,0.15359799999714596,0.0,5.356925964314165,5.356925964314165
qore_dpr,nq_44,baseline,replace,0.14944800000193936,0.0,6.62962373004619,6.62962373004619
qore_dpr,nq_45,baseline,replace,0.1462500000570799,0.0,6.393402393742696,6.393402393742696
qore_dpr,nq_46,baseline,replace,0.14465799995377893,0.0,6.557902482615878,6.557902482615878
qore_dpr,nq_47,baseline,replace,0.1547990000290156,0.0,6.4895291720778765,6.4895291720778765
qore_dpr,nq_48,baseline,replace,0.148760999991282,0.0,5.950756809698824,5.950756809698824
qore_dpr,nq_49,baseline,replace,0.14722100002018124,0.0,5.8061554311501204,5.8061554311501204
qore_dpr,nq_50,baseline,replace,0.16272900006697455,0.0,5.927139371853176,5.927139371853176
qore_dpr,nq_51,baseline,replace,0.15946500002428365,0.0,6.438833939076404,6.438833939076404
qore_dpr,nq_52,baseline,replace,0.1518909999731477,0.0,5.275729034480194,5.275729034480194
qore_dpr,nq_53,baseline,replace,0.14527299993005727,0.0,5.7825241720896265,5.7825241720896265
qore_dpr,nq_54,baseline,replace,0.14862700004414364,0.0,6.398777498633863,6.398777498633863
qore_dpr,nq_55,baseline,replace,0.148760999991282,0.0,6.449922759878864,6.449922759878864
qore_dpr,nq_56,baseline,replace,0.14848900002562004,0.0,5.508348502656596,5.508348502656596
qore_dpr,nq_57,baseline,replace,0.14647300008618913,0.0,5.448496885289646,5.448496885289646
qore_dpr,nq_58,baseline,replace,0.14376800004356483,0.0,5.1805304001432555,5.1805304001432555
qore_dpr,nq_59,baseline,replace,0.14694699996198324,0.0,5.312112864647131,5.312112864647131
qore_dpr,nq_60,baseline,replace,0.14922399998340552,0.0,5.948597454005426,5.948597454005426
qore_dpr,nq_61,baseline,replace,0.151082000002134,0.0,6.202839673724729,6.202839673724729
qore_dpr,nq_62,baseline,replace,0.14460399995641637,0.0,6.098566429253595,6.098566429253595
qore_dpr,nq_63,baseline,replace,0.14702099997521145,0.0,6.044807141311297,6.044807141311297
qore_dpr,nq_64,baseline,replace,0.1490710000098261,0.0,5.71534139524347,5.71534139524347
qore_dpr,nq_65,baseline,replace,0.14676299997518072,0.0,6.329071061467822,6.329071061467822
qore_dpr,nq_66,baseline,replace,0.14484799999081588,0.0,5.850559203825695,5.850559203825695
qore_dpr,nq_67,baseline,replace,0.14845099997273792,0.0,5.278442680147846,5.278442680147846
qore_dpr,nq_68,baseline,replace,0.1472100000228238,0.0,6.107612980734123,6.107612980734123
qore_dpr,nq_69,baseline,replace,0.1672900000357913,0.0,5.131005638058634,5.131005638058634
qore_dpr,nq_70,baseline,replace,0.15390199996545562,0.0,5.690419922563828,5.690419922563828
qore_dpr,nq_71,baseline,replace,0.15147900001011294,0.0,6.426822362807798,6.426822362807798
qore_dpr,nq_72,baseline,replace,0.15173599990703224,0.0,5.3885585874505,5.3885585874505
qore_dpr,nq_73,baseline,replace,0.1685430000861743,0.0,5.157126118870083,5.157126118870083
qore_dpr,nq_74,baseline,replace,0.15024100002847263,0.0,5.854267659624031,5.854267659624031
qore_dpr,nq_75,baseline,replace,0.15185900008418685,0.0,5.35637586694662,5.35637586694662
qore_dpr,nq_76,baseline,replace,0.14356500003032124,0.0,5.5030732085126415,5.5030732085126415
qore_dpr,nq_77,baseline,replace,0.14594700007819483,0.0,5.18537654839372,5.18537654839372
qore_dpr,nq_78,baseline,replace,0.15506900001582835,0.0,6.007464626268955,6.007464626268955
qore_dpr,nq_79,baseline,replace,0.14324400001441973,0.0,5.760642160368818,5.760642160368818
qore_dpr,nq_80,baseline,replace,0.146774000086225,0.0,5.743666268225661,5.743666268225661
