configuration,question_id,recall,precision,redundancy,diversity,em,f1,selection_time_ms,generation_time_ms,retrieval_hit,selected_ranks,gold_ranks,plugin_timing_available,plugin_timing_ms
qore_dpr,nq_0,0.75,0.6,0.8820913502054196,0.11790864979458038,0.0,0.8571428571428571,26.970101999950202,774.9710049999976,True,0;1;2;3;4,0;1;4;38,True,baseline:0.694961
qore_dpr,nq_1,0.3333333333333333,0.4,0.8803520995973184,0.11964790040268158,0.0,0.5714285714285715,11.600049999969997,259.65230999997857,True,0;1;2;6;8,0;1;7;9;14;30,True,baseline:0.180351
qore_dpr,nq_2,0.15384615384615385,0.4,0.7596790521849467,0.2403209478150533,1.0,1.0,14.093244000036975,177.859845999933,True,0;1;2;3;13,0;1;6;7;16;19;22;23;32;33;35;38;45,True,baseline:0.225333
qore_dpr,nq_3,0.125,0.2,0.8917927999498925,0.10820720005010753,0.0,0.0,11.420455999996193,280.9114450000152,True,0;1;2;3;4,4;6;24;29;37;45;47;49,True,baseline:0.161412
qore_dpr,nq_4,0.2,0.4,0.8353656647314311,0.16463433526856885,1.0,1.0,11.53657400004704,180.64166999999998,True,0;1;2;3;8,0;3;7;16;24;26;27;33;40;47,True,baseline:0.152174
qore_dpr,nq_5,0.0,0.0,0.8784629868006988,0.12153701319930121,0.0,0.0,11.477124999942134,279.9348739999914,True,0;1;2;3;6,19;44,True,baseline:0.163497
qore_dpr,nq_6,0.0,0.0,0.8241135593668799,0.1758864406331201,0.0,0.0,11.535914999967645,260.3896770000347,True,0;1;2;3;6,9;33,True,baseline:0.153896
qore_dpr,nq_7,,0.0,0.8771192610803183,0.12288073891968165,0.0,0.6666666666666666,11.499157000002924,218.27187200005937,False,0;1;2;3;4,,True,baseline:0.150008
qore_dpr,nq_8,,0.0,0.6163735739468986,0.3836264260531014,0.0,0.3333333333333333,11.465568999938114,222.96264800002064,False,0;1;2;3;6,,True,baseline:0.147734
qore_dpr,nq_9,,0.0,0.7518974836728525,0.24810251632714753,0.0,0.0,11.570466999955897,219.9778789999982,False,0;2;3;4;8,,True,baseline:0.145851
qore_dpr,nq_10,0.2857142857142857,0.8,0.8279995304100674,0.17200046958993265,1.0,1.0,11.442907000059677,198.4889899999871,True,0;1;2;4;5,0;1;2;3;5;8;9;11;14;17;23;36;39;42,True,baseline:0.161535
qore_dpr,nq_11,0.25,0.2,0.7156764214990264,0.28432357850097356,1.0,1.0,11.468647000015153,219.614536999984,True,0;1;2;3;5,3;7;14;37,True,baseline:0.147157
qore_dpr,nq_12,0.6666666666666666,0.4,0.8111818883957487,0.18881811160425133,0.0,0.0,11.505473000056554,329.25194699998883,True,0;1;2;3;6,0;1;41,True,baseline:0.160652
qore_dpr,nq_13,0.42857142857142855,0.6,0.7550997581995318,0.2449002418004682,1.0,1.0,11.577605999946172,178.525443999888,True,0;1;2;3;10,0;1;3;4;5;16;31,True,baseline:0.159706
qore_dpr,nq_14,0.6,0.6,0.8059254078152929,0.19407459218470713,0.0,0.5714285714285715,11.465587999964555,301.6153869999698,True,0;1;2;3;14,0;1;2;9;11,True,baseline:0.149883
qore_dpr,nq_15,,0.0,0.6953146986725226,0.3046853013274774,0.0,0.0,11.37145600000622,219.77957000001425,False,0;1;2;3;4,,True,baseline:0.146073
qore_dpr,nq_16,0.5,0.2,0.8438226144853432,0.15617738551465676,0.0,0.7499999999999999,11.508219000006648,219.19962900005885,True,0;1;2;4;6,4;27,True,baseline:0.151711
qore_dpr,nq_17,0.0,0.0,0.7429599703741872,0.25704002962581285,0.0,0.0,11.432652000053167,177.83651499996722,True,0;2;3;6;7,8;12;22;27;28,True,baseline:0.158281
qore_dpr,nq_18,0.21052631578947367,0.8,0.8245267216477983,0.17547327835220172,0.0,0.0,11.40636499997072,238.85744999995495,True,0;1;2;3;6,0;1;2;4;5;6;7;10;16;17;20;22;25;27;33;36;37;43;49,True,baseline:0.164363
