💾 Output directory: /root/QORE-VLM/exchange/idea7_phase2/20260730T212633/training
📚 Loading training data from /root/QORE-VLM/exchange/idea7_phase2/20260730T212633/data_prep/result.json
   Loaded 141 valid samples
   Train: 112, Val: 29
🖥️  Device: cuda
🧠 Model: LearnableQUBO

🚀 Starting training for 100 epochs
Epoch   1/100 | T=1.000 | Loss=-0.1308 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.978 | w_b=1.000
Epoch   2/100 | T=0.988 | Loss=-0.1654 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.697 | w_b=1.000
Epoch   3/100 | T=0.977 | Loss=-0.1741 | Recall=1.0000 | Val_Recall=1.0000 | w_a=3.055 | w_b=1.000
Epoch   4/100 | T=0.965 | Loss=-0.1602 | Recall=1.0000 | Val_Recall=1.0000 | w_a=3.282 | w_b=1.000
Epoch   5/100 | T=0.953 | Loss=-0.1607 | Recall=1.0000 | Val_Recall=1.0000 | w_a=3.460 | w_b=1.000
Epoch   6/100 | T=0.942 | Loss=-0.1663 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.978 | w_b=1.000
Epoch   7/100 | T=0.930 | Loss=-0.1710 | Recall=1.0000 | Val_Recall=1.0000 | w_a=3.082 | w_b=1.000
Epoch   8/100 | T=0.918 | Loss=-0.1703 | Recall=1.0000 | Val_Recall=1.0000 | w_a=3.007 | w_b=1.000
Epoch   9/100 | T=0.907 | Loss=-0.1646 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.811 | w_b=1.000
Epoch  10/100 | T=0.895 | Loss=-0.1589 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.949 | w_b=1.000
Epoch  11/100 | T=0.883 | Loss=-0.1474 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.951 | w_b=1.000
Epoch  12/100 | T=0.872 | Loss=-0.1582 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.954 | w_b=1.000
Epoch  13/100 | T=0.860 | Loss=-0.1520 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.670 | w_b=1.000
Epoch  14/100 | T=0.848 | Loss=-0.1478 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.746 | w_b=1.000
