question_id,pool_size,K,control_gold_hits,spectral_dpp_gold_hits,gold_hit_delta,selection_changed,spectral_dpp_redundancy
nq_0,15,5,2,2,0,True,0.8541128623045979
nq_1,15,5,2,2,0,True,0.7231898500225277
nq_10,15,5,4,4,0,True,0.7949576893064805
nq_100,15,5,3,2,-1,True,0.8101358979103521
nq_101,15,5,2,1,-1,True,0.7250334926117687
nq_102,15,5,3,2,-1,True,0.7615072866378633
nq_103,15,5,0,0,0,True,0.7577268664444704
nq_104,15,5,1,1,0,True,0.8538066138735825
nq_105,15,5,5,5,0,True,0.7931489693707369
nq_106,15,5,0,0,0,True,0.7688059856294476
nq_107,15,5,0,0,0,True,0.8240030978290104
nq_108,15,5,3,2,-1,True,0.7999202336098706
nq_109,15,5,0,0,0,True,0.7007157105963577
nq_11,15,5,3,3,0,True,0.78391841015874
nq_110,15,5,0,0,0,True,0.7357356442997252
nq_111,15,5,0,0,0,True,0.8942871547186068
nq_112,15,5,5,5,0,True,0.8413066549164203
nq_113,15,5,2,2,0,True,0.7277875219747127
nq_114,15,5,1,0,-1,True,0.8378817482677864
nq_115,15,5,1,1,0,True,0.7117201634109267
nq_116,15,5,5,5,0,True,0.9340204030818315
nq_117,15,5,0,1,1,True,0.8553135114732623
nq_118,15,5,0,0,0,True,0.6632336666322904
nq_119,15,5,1,2,1,True,0.8636852077655257
nq_12,15,5,1,1,0,True,0.7706736545523187
nq_120,15,5,2,3,1,True,0.7716627835165166
nq_121,15,5,3,3,0,True,0.7756281658970299
nq_122,15,5,0,0,0,True,0.7722852464489073
nq_123,15,5,1,1,0,True,0.7669353862106378
nq_124,15,5,1,1,0,True,0.6442077852313124
nq_125,15,5,3,3,0,True,0.68755546017789
nq_126,15,5,1,1,0,True,0.6652558434274194
nq_127,15,5,2,2,0,True,0.7410161587961486
nq_128,15,5,3,3,0,True,0.8123191957317971
nq_129,15,5,2,2,0,True,0.7370344831346167
nq_13,15,5,5,5,0,True,0.8473733470427754
nq_130,15,5,0,0,0,True,0.7925279384883048
nq_131,15,5,1,0,-1,True,0.8632015637239239
nq_132,15,5,0,0,0,True,0.8171247351908736
nq_133,15,5,1,1,0,True,0.8272279140830274
nq_134,15,5,2,2,0,True,0.773066629656953
nq_135,15,5,0,0,0,True,0.6389181590582893
nq_136,15,5,1,0,-1,True,0.6175071838214058
nq_137,15,5,1,1,0,True,0.7524904793872806
nq_138,15,5,0,0,0,True,0.777208464312489
nq_139,15,5,0,0,0,True,0.6529738307821155
nq_14,15,5,1,1,0,True,0.7459282568122105
nq_140,15,5,2,2,0,True,0.8715623286380101
nq_141,15,5,5,4,-1,True,0.8217681295696181
nq_142,15,5,5,5,0,True,0.8491524205466202
nq_143,15,5,2,1,-1,True,0.7108546798841915
nq_144,15,5,5,5,0,True,0.8863741331445676
nq_145,15,5,0,0,0,True,0.7651819965285322
nq_146,15,5,3,3,0,True,0.7545451054685574
nq_147,15,5,3,3,0,True,0.7335859786977075
nq_148,15,5,4,3,-1,True,0.8621091961654711
nq_149,15,5,2,1,-1,True,0.8285246645543014
nq_15,15,5,0,0,0,True,0.6727730841400222
nq_150,15,5,0,0,0,True,0.7418361935279548
nq_151,15,5,2,1,-1,True,0.8619585973816619
nq_152,15,5,2,1,-1,True,0.8470915097140592
