question_id,pool_size,K,control_gold_hits,spectral_dpp_gold_hits,gold_hit_delta,selection_changed,spectral_dpp_redundancy
nq_0,15,5,2,2,0,True,0.8491725611219841
nq_1,15,5,2,2,0,True,0.7142931833640049
nq_10,15,5,4,4,0,True,0.7409094552225282
nq_100,15,5,3,1,-2,True,0.7917325816547376
nq_101,15,5,2,1,-1,True,0.7250334926117687
nq_102,15,5,3,2,-1,True,0.7511859979413705
nq_103,15,5,0,0,0,True,0.7472716366233597
nq_104,15,5,1,1,0,True,0.8427706530538257
nq_105,15,5,5,5,0,True,0.7686897121998747
nq_106,15,5,0,0,0,True,0.7577735969844591
nq_107,15,5,0,0,0,True,0.7315666435791714
nq_108,15,5,3,2,-1,True,0.760311905341948
nq_109,15,5,0,0,0,True,0.7007157105963577
nq_11,15,5,3,2,-1,True,0.7413214790673996
nq_110,15,5,0,0,0,True,0.7224794769579337
nq_111,15,5,0,0,0,True,0.888574790567907
nq_112,15,5,5,5,0,True,0.8413066549164203
nq_113,15,5,2,1,-1,True,0.6443673740833523
nq_114,15,5,1,0,-1,True,0.8171934528052411
nq_115,15,5,1,1,0,True,0.7117201634109267
nq_116,15,5,5,4,-1,True,0.8336073873993861
nq_117,15,5,0,1,1,True,0.8553135114732623
nq_118,15,5,0,0,0,True,0.649677285600896
nq_119,15,5,1,2,1,True,0.776979480922927
nq_12,15,5,1,1,0,True,0.7085800447163636
nq_120,15,5,2,1,-1,True,0.6739433250565788
nq_121,15,5,3,2,-1,True,0.7565990013708971
nq_122,15,5,0,0,0,True,0.7243386510151025
nq_123,15,5,1,1,0,True,0.7564632677320946
nq_124,15,5,1,1,0,True,0.6304231345505066
nq_125,15,5,3,2,-1,True,0.6708997136781214
nq_126,15,5,1,1,0,True,0.6652558434274194
nq_127,15,5,2,1,-1,True,0.7094344339171009
nq_128,15,5,3,3,0,True,0.7585224290459499
nq_129,15,5,2,2,0,True,0.7058760310045479
nq_13,15,5,5,3,-2,True,0.7083514183912311
nq_130,15,5,0,0,0,True,0.7587277590348719
nq_131,15,5,1,0,-1,True,0.8382849900266327
nq_132,15,5,0,0,0,True,0.8174297094565224
nq_133,15,5,1,2,1,True,0.815947017443075
nq_134,15,5,2,2,0,True,0.7530122099044402
nq_135,15,5,0,0,0,True,0.6016332837825865
nq_136,15,5,1,0,-1,True,0.6175071838214059
nq_137,15,5,1,1,0,True,0.7524904793872808
nq_138,15,5,0,0,0,True,0.7616670961657557
nq_139,15,5,0,0,0,True,0.6529738307821155
nq_14,15,5,1,1,0,True,0.7459282568122105
nq_140,15,5,2,1,-1,True,0.8589278759121107
nq_141,15,5,5,4,-1,True,0.801112903059569
nq_142,15,5,5,5,0,True,0.7894997689638333
nq_143,15,5,2,1,-1,True,0.7043677679552625
nq_144,15,5,5,5,0,True,0.8863741331445676
nq_145,15,5,0,0,0,True,0.7391245586585206
nq_146,15,5,3,1,-2,True,0.7209460052563255
nq_147,15,5,3,2,-1,True,0.6868410960570541
nq_148,15,5,4,3,-1,True,0.8431944981016439
nq_149,15,5,2,0,-2,True,0.7580850753941695
