question_id,pool_size,K,control_gold_hits,spectral_dpp_gold_hits,gold_hit_delta,selection_changed,spectral_dpp_redundancy
nq_0,15,5,2,2,0,True,0.8541128623045979
nq_1,15,5,2,2,0,True,0.7231898500225277
nq_10,15,5,4,4,0,True,0.7949576893064805
nq_100,15,5,3,3,0,True,0.8360494764035818
nq_101,15,5,2,3,1,True,0.8047276893621309
nq_102,15,5,3,3,0,True,0.7679159079786728
nq_103,15,5,0,0,0,True,0.7852451859106861
nq_104,15,5,1,1,0,True,0.8686048803550269
nq_105,15,5,5,5,0,True,0.7931489693707369
nq_106,15,5,0,0,0,True,0.7688059856294476
nq_107,15,5,0,0,0,True,0.8576747965199193
nq_108,15,5,3,3,0,True,0.8449188994420638
nq_109,15,5,0,0,0,True,0.7176035754780792
nq_11,15,5,3,3,0,True,0.78391841015874
nq_110,15,5,0,0,0,True,0.7642029659344279
nq_111,15,5,0,0,0,True,0.8942871547186068
nq_112,15,5,5,5,0,True,0.8454698279405172
nq_113,15,5,2,3,1,True,0.7627766677275436
nq_114,15,5,1,1,0,True,0.8434680062672811
nq_115,15,5,1,1,0,True,0.7117201634109267
nq_116,15,5,5,5,0,True,0.9340204030818315
nq_117,15,5,0,1,1,True,0.8553135114732623
nq_118,15,5,0,0,0,True,0.7283334528893339
nq_119,15,5,1,1,0,True,0.9068188569676234
nq_12,15,5,1,1,0,True,0.7954386891970728
nq_120,15,5,2,3,1,True,0.7968275709570268
nq_121,15,5,3,3,0,True,0.8018661542328944
nq_122,15,5,0,0,0,True,0.7963916696609445
nq_123,15,5,1,1,0,True,0.7669353862106378
nq_124,15,5,1,1,0,True,0.6823289729415192
nq_125,15,5,3,3,0,True,0.7781639864407074
nq_126,15,5,1,1,0,True,0.6652558434274194
nq_127,15,5,2,2,0,True,0.7410161587961486
nq_128,15,5,3,3,0,True,0.8616942286140137
nq_129,15,5,2,2,0,True,0.7829193251174709
nq_13,15,5,5,5,0,True,0.8473733470427754
nq_130,15,5,0,0,0,True,0.7940226502470022
nq_131,15,5,1,1,0,True,0.8800038128866838
nq_132,15,5,0,0,0,True,0.8171247351908736
nq_133,15,5,1,1,0,True,0.8272279140830274
nq_134,15,5,2,2,0,True,0.8250622533998406
nq_135,15,5,0,0,0,True,0.6389181590582893
nq_136,15,5,1,1,0,True,0.6352372974651957
nq_137,15,5,1,1,0,True,0.7618146121140696
nq_138,15,5,0,0,0,True,0.8073466658349732
nq_139,15,5,0,0,0,True,0.663561494926826
nq_14,15,5,1,2,1,True,0.7685981967762856
nq_140,15,5,2,2,0,True,0.8715623286380101
nq_141,15,5,5,5,0,True,0.8446284992825378
nq_142,15,5,5,5,0,True,0.8491524205466202
nq_143,15,5,2,1,-1,True,0.7234575911665803
nq_144,15,5,5,5,0,True,0.8863741331445676
nq_145,15,5,0,0,0,True,0.7651819965285322
nq_146,15,5,3,4,1,True,0.8002403410485535
nq_147,15,5,3,3,0,True,0.7335859786977076
nq_148,15,5,4,4,0,True,0.8889065273481828
nq_149,15,5,2,2,0,True,0.8490293243660301
nq_15,15,5,0,0,0,True,0.6952022496850264
nq_150,15,5,0,0,0,True,0.7805139875577073
nq_151,15,5,2,2,0,True,0.8791730666282416
nq_152,15,5,2,2,0,True,0.8571879021623259
nq_153,15,5,1,1,0,True,0.7144574577853932
