question_id,pool_size,K,control_gold_hits,spectral_dpp_gold_hits,gold_hit_delta,selection_changed,spectral_dpp_redundancy
nq_0,15,5,2,2,0,True,0.8541128623045979
nq_1,15,5,2,3,1,True,0.7350809234769755
nq_10,15,5,4,3,-1,True,0.8146857005462079
nq_100,15,5,3,3,0,True,0.8360494764035818
nq_101,15,5,2,3,1,True,0.8047276893621309
nq_102,15,5,3,2,-1,True,0.7704107056143086
nq_103,15,5,0,0,0,True,0.8007718339191431
nq_104,15,5,1,1,0,True,0.8686048803550268
nq_105,15,5,5,5,0,True,0.8114993948521867
nq_106,15,5,0,0,0,True,0.7688059856294476
nq_107,15,5,0,0,0,True,0.8576747965199193
nq_108,15,5,3,3,0,True,0.8449188994420638
nq_109,15,5,0,0,0,True,0.7176035754780792
nq_11,15,5,3,4,1,True,0.8281666997146235
nq_110,15,5,0,0,0,True,0.7834242365363742
nq_111,15,5,0,0,0,True,0.8971478892971207
nq_112,15,5,5,5,0,True,0.8619265932619147
nq_113,15,5,2,3,1,True,0.769494601885585
nq_114,15,5,1,1,0,True,0.8434680062672809
nq_115,15,5,1,1,0,True,0.7236848905635083
nq_116,15,5,5,5,0,True,0.9464443923215109
nq_117,15,5,0,2,2,True,0.869998445524115
nq_118,15,5,0,0,0,True,0.7283334528893339
nq_119,15,5,1,1,0,True,0.9068188569676234
nq_12,15,5,1,1,0,True,0.8339101817451391
nq_120,15,5,2,3,1,True,0.7968275709570268
nq_121,15,5,3,3,0,True,0.8018661542328944
nq_122,15,5,0,0,0,True,0.8633568928044211
nq_123,15,5,1,2,1,True,0.803910721143527
nq_124,15,5,1,1,0,True,0.7539301704604084
nq_125,15,5,3,4,1,True,0.9008238566901084
nq_126,15,5,1,1,0,True,0.6746134310771268
nq_127,15,5,2,3,1,True,0.7420960036908232
nq_128,15,5,3,3,0,True,0.8616942286140137
nq_129,15,5,2,3,1,True,0.7995135293357066
nq_13,15,5,5,5,0,True,0.8796021870085655
nq_130,15,5,0,0,0,True,0.816334345520449
nq_131,15,5,1,1,0,True,0.8800038128866838
nq_132,15,5,0,0,0,True,0.8492753708075279
nq_133,15,5,1,1,0,True,0.8490006223518577
nq_134,15,5,2,2,0,True,0.8250622533998406
nq_135,15,5,0,0,0,True,0.6389181590582893
nq_136,15,5,1,1,0,True,0.6665974475211571
nq_137,15,5,1,2,1,True,0.7745203457840192
nq_138,15,5,0,0,0,True,0.8073466658349732
nq_139,15,5,0,0,0,True,0.6635614949268261
nq_14,15,5,1,3,2,True,0.7824051773298766
nq_140,15,5,2,2,0,True,0.8715623286380101
nq_141,15,5,5,5,0,True,0.8469424092156383
nq_142,15,5,5,5,0,True,0.8491524205466202
nq_143,15,5,2,2,0,True,0.7730078862446647
nq_144,15,5,5,5,0,True,0.8880692956669606
nq_145,15,5,0,0,0,True,0.8801306528060066
nq_146,15,5,3,4,1,True,0.8248666771032273
nq_147,15,5,3,4,1,True,0.7848343231225374
nq_148,15,5,4,4,0,True,0.8889065273481828
nq_149,15,5,2,2,0,True,0.8490293243660301
nq_15,15,5,0,0,0,True,0.6952022496850264
nq_150,15,5,0,0,0,True,0.8234906138150446
nq_151,15,5,2,2,0,True,0.8791730666282416
nq_152,15,5,2,2,0,True,0.8571879021623259
nq_153,15,5,1,1,0,True,0.7144574577853932
nq_154,15,5,0,0,0,True,0.8810327436942463
nq_155,15,5,0,0,0,True,0.7211094149312826
nq_156,15,5,3,3,0,True,0.8825600566606789
nq_157,15,5,3,3,0,True,0.7727960271246717
nq_158,15,5,0,0,0,True,0.7215760473723191
nq_159,15,5,0,1,1,True,0.740987556872493
nq_16,15,5,1,1,0,True,0.8618908111389176
nq_160,15,5,1,1,0,True,0.7812855919846304
nq_161,15,5,1,1,0,True,0.8314282869139895
nq_162,15,5,4,4,0,True,0.7827820481251692
nq_163,15,5,0,0,0,True,0.7416645853603773
nq_164,15,5,2,2,0,True,0.7668622136092187
nq_165,15,5,3,2,-1,True,0.8440211278840669
nq_166,15,5,1,2,1,True,0.8612747362612649
nq_167,15,5,2,2,0,True,0.8579604624637378
nq_168,15,5,1,1,0,True,0.8119754660549358
nq_169,15,5,1,2,1,True,0.8616388540147628
nq_17,15,5,1,1,0,True,0.8234791843263715
nq_170,15,5,1,1,0,True,0.8897376750688762
nq_171,15,5,3,3,0,True,0.8679737544708657
nq_172,15,5,0,0,0,True,0.6759015285100073
nq_173,15,5,2,2,0,True,0.8904616751255249
nq_174,15,5,3,3,0,True,0.8105775755463418
nq_175,15,5,3,3,0,True,0.7454957667800279
nq_176,15,5,0,0,0,True,0.8330938602966157
nq_177,15,5,1,1,0,True,0.802719988864865
nq_178,15,5,3,3,0,True,0.8885995238465455
nq_179,15,5,0,0,0,True,0.6716590116338097
nq_18,15,5,1,1,0,True,0.8263849941803084
nq_180,15,5,1,2,1,True,0.8495233195611116
nq_181,15,5,2,2,0,True,0.7808408263231523
nq_182,15,5,0,0,0,True,0.7137847485040738
nq_183,15,5,0,0,0,True,0.6426260933758592
nq_184,15,5,2,2,0,True,0.8289451448847499
nq_185,15,5,0,0,0,True,0.6993636784822673
nq_186,15,5,4,4,0,True,0.8360722044981796
nq_187,15,5,1,1,0,True,0.8090706173496229
nq_188,15,5,1,1,0,True,0.6682250384102588
nq_189,15,5,0,0,0,True,0.6510085577313012
nq_19,15,5,5,5,0,True,0.7832095675627189
nq_190,15,5,3,3,0,True,0.8298663797050784
