question_id,pool_size,K,control_gold_hits,submodular_gold_hits,gold_hit_delta,selection_changed,submodular_redundancy
nq_0,15,5,2,2,0,True,0.8541128623045979
nq_1,15,5,2,3,1,True,0.7367286160332183
nq_10,15,5,4,3,-1,True,0.8146857005462079
nq_100,15,5,3,3,0,True,0.8360494764035818
nq_101,15,5,2,3,1,True,0.8047276893621309
nq_102,15,5,3,2,-1,True,0.7704107056143086
nq_103,15,5,0,0,0,True,0.8007718339191431
nq_104,15,5,1,1,0,True,0.8686048803550269
nq_105,15,5,5,5,0,True,0.8114993948521867
nq_106,15,5,0,0,0,True,0.7688059856294476
nq_107,15,5,0,0,0,True,0.8576747965199193
nq_108,15,5,3,3,0,True,0.8449188994420638
nq_109,15,5,0,0,0,True,0.7176035754780792
nq_11,15,5,3,4,1,True,0.8281666997146235
nq_110,15,5,0,0,0,True,0.7834242365363742
nq_111,15,5,0,0,0,True,0.8960536862526371
nq_112,15,5,5,5,0,True,0.8472122699291005
nq_113,15,5,2,3,1,True,0.765209462715708
nq_114,15,5,1,1,0,True,0.8434680062672809
nq_115,15,5,1,1,0,True,0.7146861400596695
nq_116,15,5,5,5,0,True,0.9464443923215109
nq_117,15,5,0,2,2,True,0.869998445524115
nq_118,15,5,0,0,0,True,0.7283334528893339
nq_119,15,5,1,1,0,True,0.9068188569676234
nq_12,15,5,1,2,1,True,0.8383848269083671
nq_120,15,5,2,3,1,True,0.7968275709570268
nq_121,15,5,3,3,0,True,0.8018661542328944
nq_122,15,5,0,0,0,True,0.8633568928044211
nq_123,15,5,1,2,1,True,0.7825924494294195
nq_124,15,5,1,1,0,True,0.7539301704604084
nq_125,15,5,3,4,1,True,0.9008238566901084
nq_126,15,5,1,1,0,True,0.6746134310771268
nq_127,15,5,2,3,1,True,0.7420960036908233
nq_128,15,5,3,4,1,True,0.8858979607425221
nq_129,15,5,2,3,1,True,0.7995135293357067
nq_13,15,5,5,5,0,True,0.8796021870085655
nq_130,15,5,0,0,0,True,0.816334345520449
nq_131,15,5,1,1,0,True,0.8800038128866838
nq_132,15,5,0,0,0,True,0.8492753708075279
nq_133,15,5,1,1,0,True,0.8490006223518577
nq_134,15,5,2,2,0,True,0.8250622533998406
nq_135,15,5,0,0,0,True,0.6389181590582893
nq_136,15,5,1,1,0,True,0.6665974475211571
nq_137,15,5,1,2,1,True,0.7882257194483644
nq_138,15,5,0,0,0,True,0.8073466658349732
nq_139,15,5,0,0,0,True,0.6635614949268261
nq_14,15,5,1,3,2,True,0.7824051773298766
nq_140,15,5,2,2,0,True,0.8715623286380101
nq_141,15,5,5,5,0,True,0.8469424092156383
