configuration,question_id,recall,precision,redundancy,diversity,em,f1,selection_time_ms,generation_time_ms,retrieval_hit,selected_ranks,gold_ranks,plugin_timing_available,plugin_timing_ms
qore_as_control,nq_0,0.5,0.4,0.8541128623045979,0.14588713769540207,0.0,0.8571428571428571,24.56999100002122,705.4134310000109,True,0;1;25;32;37,0;1;4;38,True,baseline:0.805689
qore_as_control,nq_1,0.3333333333333333,0.4,0.7231898500225278,0.2768101499774722,0.0,0.5714285714285715,11.381173000017952,242.73323099998834,True,1;12;30;43;48,0;1;7;9;14;30,True,baseline:0.176853
qore_as_control,nq_2,0.23076923076923078,0.6,0.6961108830999511,0.30388911690004894,1.0,1.0,11.760592999962682,180.23853099998632,True,0;1;32;37;47,0;1;6;7;16;19;22;23;32;33;35;38;45,True,baseline:0.168203
qore_as_control,nq_3,0.625,1.0,0.8856787463091609,0.11432125369083912,0.0,0.0,11.336894000010034,283.18151799999214,True,4;29;37;45;49,4;6;24;29;37;45;47;49,True,baseline:0.160189
qore_as_control,nq_4,0.4,0.8,0.8538989055969182,0.14610109440308183,0.0,0.8,11.373377999916556,201.24357299994244,True,0;16;26;29;40,0;3;7;16;24;26;27;33;40;47,True,baseline:0.156242
qore_as_control,nq_5,0.0,0.0,0.8888063393982742,0.11119366060172575,0.0,0.0,11.42833200003679,244.12835199996152,True,0;5;8;10;21,19;44,True,baseline:0.151492
qore_as_control,nq_6,0.0,0.0,0.9058967500802556,0.09410324991974439,0.0,0.0,11.340596999957597,261.8823520000433,True,0;3;5;11;12,9;33,True,baseline:0.153319
qore_as_control,nq_7,,0.0,0.9030805196519799,0.09691948034802012,0.0,0.6666666666666666,11.38250799999696,201.5256900000395,False,4;9;34;42;49,,True,baseline:0.147390
qore_as_control,nq_8,,0.0,0.625220254602515,0.37477974539748504,0.0,0.28571428571428575,11.435889000040333,241.2159130000191,False,1;7;18;39;43,,True,baseline:0.147466
qore_as_control,nq_9,,0.0,0.8074523201595352,0.19254767984046484,0.0,0.5,11.29912700002933,183.38395600005697,False,15;19;34;43;48,,True,baseline:0.148388
qore_as_control,nq_10,0.2857142857142857,0.8,0.7949576893064805,0.20504231069351952,1.0,1.0,12.739148000036948,202.54446100000223,True,5;8;11;42;46,0;1;2;3;5;8;9;11;14;17;23;36;39;42,True,baseline:0.161137
qore_as_control,nq_11,0.75,0.6,0.7769646693458949,0.22303533065410508,1.0,1.0,11.361487999920428,224.5607380000365,True,0;3;14;32;37,3;7;14;37,True,baseline:0.147987
